Citation,Authors,Year,Title,Journal/Book/ Publisher,Volume,Pages,Language,Multiple studies,Country,State/Province,Name of site/area,Research project,Lat.,Long.,Plotted lat.,Plotted long.,Altitude (m),Forest type,Dominant tree species,Stand age (years),Measure of age,Stand origin,Type of comparison,No. of true replicates,Intervention category,Intervention (specification),Outcome categories,Focal species,Focal communities,Focal biodiversity indicators,Remarks,Google Scholar search
Luoma et al. (2004),"D. L. Luoma, J. L. Eberhart, R. Molina and M. P. Amaranthus",2004,Response of ectomycorrhizal fungus sporocarp production to varying levels and patterns of green-tree retention,Forest Ecology and Management,202,337-354,English,,USA,Oregon; Washington,Butte; Dog Prairie; Watson Falls,Demonstration of Ecosystem Management Options (DEMO),43.20-46.37 N,121.59-122.34 W,45.86,-122.34,945-1710,Coniferous,Pseudotsuga menziesii,70-165,,,BACI,3,PART,"Single-tree selection harvesting, 40% retention. (Study also reports on low-retention harvesting, retention of 1 ha patches and gap felling with 1 ha gaps.)","FungAbunt, FungRich",,Ectomycorrhizal fungi,,,http://scholar.google.co.uk/scholar?q=Response+of+ectomycorrhizal+fungus+sporocarp+production+to+varying+levels+and+patterns+of+green-tree+retention&btnG=&hl=en&as_sdt=0%2C5
Halaj et al. (2008),"J. Halaj, C. B. Halpern and H. Yi",2008,Responses of litter-dwelling spiders and carabid beetles to varying levels and patterns of green-tree retention,Forest Ecology and Management,255,887-900,English,,USA,Oregon; Washington,Butte; Little White Salmon; Paradise Hills; Watson Falls,Demonstration of Ecosystem Management Options (DEMO),43.27-46.37 N,121.59-122.34 W,45.86,-122.34,800-1300,Coniferous,Pseudotsuga menziesii,,,,CI,4,PART,"Single-tree selection harvesting, 40% retention. (Study also reports on low-retention harvesting and retention of 1 ha patches.)","BeetgAbuns, BeetgAbunt, BeetgRich, ArthAbuns, ArthAbunt, ArthComp",,Carabids; spiders,,,http://scholar.google.co.uk/scholar?q=Responses+of+litter-dwelling+spiders+and+carabid+beetles+to+varying+levels+and+patterns+of+green-tree+retention&btnG=&hl=en&as_sdt=0%2C5
Halaj et al. (2009),"J. Halaj, C. B. Halpern and H. Yi",2009,Effects of green-tree retention on abundance and guild composition of corticolous arthropods,Forest Ecology and Management,258,850-859,English,,USA,Oregon; Washington,Dog Prairie; Little White Salmon; Watson Falls,Demonstration of Ecosystem Management Options (DEMO),43.20-45.86 N,121.69-122.34 W,45.86,-122.34,825-1710,Coniferous,Pseudotsuga menziesii,110-165,,,CI,3,"CREA, PART","Single-tree selection harvesting, 40% retention; girdling of trees. (Study also reports on low-retention harvesting and retention of 1 ha patches.)","BeetsAbunt, BeetoAbunt, InsAbunt, ArthAbunt",,Bark-dwelling arthropods,,Site coordinates from Halpern et al. (2005),http://scholar.google.co.uk/scholar?q=Effects+of+green-tree+retention+on+abundance+and+guild+composition+of+corticolous+arthropods&btnG=&hl=en&as_sdt=0%2C5
deCalesta (1994),D. S. deCalesta,1994,Effect of white-tailed deer on songbirds within managed forests in Pennsylvania,Journal of Wildlife Management,58,711-718,English,,USA,Pennsylvania,Deadman Corners; Fools Creek; State Game Land 30; Wildwood Tower,,41.57-41.63 N,78.32-79.13 W,41.6,-78.7,,Broadleaf,"Prunus serotina, Acer rubrum, Acer saccharum, Fagus grandifolia",50-60,,,CI,4,"GRAZ, THIN",Thinning; enclosures with 4 different densities of white-tailed deer. (Study also reports on clearcutting.),"VascAbunt, TreePerf, BirdAbunt, BirdAbuns, BirdRich",,Songbirds,,Site names and coordinates from Horsley et al. (2003),http://scholar.google.co.uk/scholar?q=Effect+of+white-tailed+deer+on+songbirds+within+managed+forests+in+Pennsylvania&btnG=&hl=en&as_sdt=0%2C5
Horsley et al. (2003),"S. B. Horsley, S. L. Stout and D. S. deCalesta",2003,White-tailed deer impact on the vegetation dynamics of a northern hardwood forest,Ecological Applications,13,98-118,English,,USA,Pennsylvania,Deadman Corners; Fools Creek; State Game Land 30; Wildwood Tower,,41.57-41.63 N,78.32-79.13 W,41.6,-78.7,550-710,Broadleaf,"Prunus serotina, Acer rubrum, Acer saccharum",Mature,,,CI,4,"GRAZ, THIN",Thinning; enclosures with 4 different densities of white-tailed deer. (Study also reports on clearcutting.),"TreeAbuns, TreeAbunt, TreePerf, TreeRich, TreeDiv, VascAbuns, VascAbunt",,Trees and other vascular plants,,,http://scholar.google.co.uk/scholar?q=White-tailed+deer+impact+on+the+vegetation+dynamics+of+a+northern+hardwood+forest&btnG=&hl=en&as_sdt=0%2C5
Nuttle et al. (2014),"T. Nuttle, T. E. Ristau and A. A. Royo",2014,Long-term biological legacies of herbivore density in a landscape-scale experiment: Forest understoreys reflect past deer density treatments for at least 20 years,Journal of Ecology,102,221-228,English,,USA,Pennsylvania,Deadman Corners; Fools Creek; State Game Land 30; Wildwood Tower,,41.57-41.63 N,78.32-79.13 W,41.6,-78.7,,Broadleaf,,30 (S),,,CI,4,GRAZ,Enclosures with 4 different densities of white-tailed deer,"VascAbunt, VascRich, TreeAbunt",,Tree seedlings and other vascular plants,,Site coordinates from Horsley et al. (2003),http://scholar.google.co.uk/scholar?q=Long-term+biological+legacies+of+herbivore+density+in+a+landscape-scale+experiment:+Forest+understoreys+reflect+past+deer+density+treatments+for+at+least+20 years&btnG=&hl=en&as_sdt=0%2C5
Royo et al. (2010b),"A. A. Royo, S. L. Stout, D. S. deCalesta and T. G. Pierson",2010,Restoring forest herb communities through landscape-level deer herd reductions: Is recovery limited by legacy effects?,Biological Conservation,143,2425-2434,English,,USA,Pennsylvania,Kinzua Quality Deer Cooperative (KQDC) area,,41.9 N,78.6 W,41.9,-78.6,494-689,Broadleaf,"Prunus serotina, Acer rubrum",80-100,,Second-growth,BA,1,GRAZ,Landscape-level culling of white-tailed deer,"MammAbuns, VascAbuns, VascAbunt, VascRich, VascPerf",,Vascular plants,,,http://scholar.google.co.uk/scholar?q=Restoring+forest+herb+communities+through+landscape-level+deer+herd+reductions:+Is+recovery+limited+by+legacy+effects?&btnG=&hl=en&as_sdt=0%2C5
Byman et al. (2013),"D. Byman, S. D. Harding and F. W. Spear",2013,Demographic effects of white-tailed deer (Odocoileus virginianus) exclosures on white-footed mice (Peromyscus leucopus),American Midland Naturalist,170,171-183,English,,USA,Pennsylvania,Lacawac Sanctuary,,41.38 N,75.28 W,41.38,-75.28,,Coniferous; broadleaf,"Tsuga canadensis; Quercus rubra, Acer rubrum",,,Second-growth,CI,2 (1 in each of 2 stand types),GRAZ,Exclusion of white-tailed deer,MammAbuns,Peromyscus leucopus (white-footed mouse),,,,http://scholar.google.co.uk/scholar?q=Demographic+effects+of+white-tailed+deer+Odocoileus+virginianus+exclosures+on+white-footed+mice+Peromyscus+leucopus&btnG=&hl=en&as_sdt=0%2C5
Huebner et al. (2010),"C. D. Huebner, K. W. Gottschalk, G. W. Miller and P. H. Brose",2010,Restoration of three forest herbs in the Liliaceae family by manipulating deer herbivory and overstorey and understorey vegetation,Plant Ecology & Diversity,3,259-272,English,,USA,Pennsylvania,Moshannon State Forest,,41.12 N,78.50 W,41.12,-78.5,650,Broadleaf,Quercus rubra,85,D,Second-growth after clearcutting,CI,3,"BURN, GRAZ, OTHER, PART, UREM","Shelterwood harvesting, 70-90% retention; prescribed burning; exclusion of white-tailed deer; understorey removal using herbicide","VascPerf, VascAbuns, VascAbunt, TreeAbunt","Medeola virginiana, Uvularia sessilifolia, Trillium undulatum (Liliaceae)",Saplings and other vascular plants,,,http://scholar.google.co.uk/scholar?q=Restoration+of+three+forest+herbs+in+the+Liliaceae+family+by+manipulating+deer+herbivory+and+overstorey+and+understorey+vegetation&btnG=&hl=en&as_sdt=0%2C5
Casey and Hein (1983),D. Casey and D. Hein,1983,Effects of heavy browsing on a bird community in deciduous forest,Journal of Wildlife Management,47,829-839,English,,USA,Pennsylvania,Rachelwood Wildlife Research Preserve,,40.3 N,79.1 W,40.3,-79.1,530-780,Broadleaf,Quercus spp.,,,,CI,1,GRAZ,Enclosure with higher than normal density of white-tailed deer,"VertDiam, TreeAbunt, VascAbunt, BirdAbunt, BirdAbuns, BirdRich, BirdDiv",,Birds,,,http://scholar.google.co.uk/scholar?q=Effects+of+heavy+browsing+on+a+bird+community+in+deciduous+forest&btnG=&hl=en&as_sdt=0%2C5
Goetsch et al. (2011),"C. Goetsch, J. Wigg, A. A. Royo, T. Ristau and W. P. Carson",2011,Chronic over browsing and biodiversity collapse in a forest understory in Pennsylvania: Results from a 60 year-old deer exclusion plot,Journal of the Torrey Botanical Society,138,220-224,English,,USA,Pennsylvania,State Game Land 30,,41.63 N,78.32 W,41.63,-78.32,457-597,Broadleaf,,60-80,,Second-growth,CI,1,GRAZ,Exclusion of white-tailed deer,"VascAbuns, VascAbunt, VascRich, VascDiv, VascPerf",,Vascular plants,,,http://scholar.google.co.uk/scholar?q=Chronic+over+browsing+and+biodiversity+collapse+in+a+forest+understory+in+Pennsylvania:+Results+from+a+60+year-old+deer+exclusion+plot&btnG=&hl=en&as_sdt=0%2C5
Kain et al. (2011),"M. Kain, L. Battaglia, A. Royo and W. P. Carson",2011,Over-browsing in Pennsylvania creates a depauperate forest dominated by an understory tree: Results from a 60-year-old deer exclosure,Journal of the Torrey Botanical Society,138,322-326,English,,USA,Pennsylvania,State Game Land 30,,41.63 N,78.32 W,41.63,-78.32,,Broadleaf,"Acer saccharum, Acer rubrum, Prunus serotina, Fagus grandifolia, Betula spp.",,,Second-growth after logging in the early 1940s,CI,1,GRAZ,Exclusion of white-tailed deer,"TreeAbuns, TreeRich, TreeDiv, TreeAbunt, TreeComp",,Trees,,,http://scholar.google.co.uk/scholar?q=Over-browsing+in+Pennsylvania+creates+a+depauperate+forest+dominated+by+an+understory+tree:+Results+from+a+60-year-old+deer+exclosure&btnG=&hl=en&as_sdt=0%2C5
Kalisz et al. (2014),"S. Kalisz, R. B. Spigler and C. C. Horvitz",2014,"In a long-term experimental demography study, excluding ungulates reversed invader's explosive population growth rate and restored natives",Proceedings of the National Academy of Sciences of the United States of America,111,4501-4506,English,,USA,Pennsylvania,Trillium Trail Nature Reserve,,40.52 N,79.90 W,40.52,-79.9,,Broadleaf,"Fagus, Acer",,,,CI,6,GRAZ,Exclusion of white-tailed deer,"VascAbuns, VascPerf, InvasAbuns, InvasPerf","Alliaria petiolata (garlic mustard), Trillium erectum, Maianthemum racemosum, Polygonatum biflorum",,,Published site coordinates confuse minutes of arc and decimals of degrees,"http://scholar.google.co.uk/scholar?q=In+a+long-term+experimental+demography+study,+excluding+ungulates+reversed+invader's+explosive+population+growth+rate+and+restored+natives&btnG=&hl=en&as_sdt=0%2C5"
Abrams and Johnson (2012),M. D. Abrams and S. E. Johnson,2012,"Long-term impacts of deer exclosures on mixed-oak forest composition at the Valley Forge National Historical Park, Pennsylvania, USA",Journal of the Torrey Botanical Society,139,167-180,English,,USA,Pennsylvania,Valley Forge National Historical Park,,40.09 N,75.36 W,40.09,-75.36,,Broadleaf,Quercus spp.; Liriodendron tulipifera,,,Second-growth,CI,30 (7-15 in each of 3 stands),GRAZ,Exclusion of white-tailed deer,"TreeAbuns, TreeAbunt, TreeRich, TreeDiv, VascAbuns, VascAbunt, VascRich, VascDiv",,Trees and other vascular plants,,,"http://scholar.google.co.uk/scholar?q=Long-term+impacts+of+deer+exclosures+on+mixed-oak+forest+composition+at+the+Valley+Forge+National+Historical+Park,+Pennsylvania,+USA&btnG=&hl=en&as_sdt=0%2C5"
Yanai et al. (1998),"R. D. Yanai, M. J. Twery and S. L. Stout",1998,Woody understory response to changes in overstory density: Thinning in Allegheny hardwoods,Forest Ecology and Management,102,45-60,English,,USA,Pennsylvania,,,41.58-41.62 N,78.75-78.83 W,41.6,-78.8,,Broadleaf,"Prunus serotina, Acer spp., Fagus grandifolia",50-55 (I),,,BACI,2 in each of 2 stands,THIN,Thinning,"TreeAbuns, TreeAbunt, VascAbunt",,Trees,,,http://scholar.google.co.uk/scholar?q=Woody+understory+response+to+changes+in+overstory+density:+Thinning+in+Allegheny+hardwoods&btnG=&hl=en&as_sdt=0%2C5
Wienk et al. (2004),"C. L. Wienk, C. H. Sieg and G. R. McPherson",2004,"Evaluating the role of cutting treatments, fire and soil seed banks in an experimental framework in ponderosa pine forests of the Black Hills, South Dakota",Forest Ecology and Management,192,375-393,English,,USA,South Dakota,Black Hills,,44.5 N,103.9 W,44.5,-103.9,1220-1280,Coniferous,Pinus ponderosa,,,,BACI,3,"BURN, PART",Partial harvesting; prescribed burning. (Study also reports on clearcutting.),"TreeAbunt, VascAbuns, VascAbunt, VascRich, InvasAbuns",,Trees and other vascular plants,,,"http://scholar.google.co.uk/scholar?q=Evaluating+the+role+of+cutting+treatments,+fire+and+soil+seed+banks+in+an+experimental+framework+in+ponderosa+pine+forests+of+the+Black+Hills,+South+Dakota&btnG=&hl=en&as_sdt=0%2C5"
Bock and Bock (1983),C. E. Bock and J. H. Bock,1983,Responses of birds and deer mice to prescribed burning in ponderosa pine,Journal of Wildlife Management,47,836-840,English,,USA,South Dakota,Wind Cave National Park,,43.6 N,103.4 W,43.6,-103.4,1500,Coniferous,Pinus ponderosa,,,,"CI (birds, mammals); BACI (vegetation)",2,BURN,Prescribed burning,"VascAbuns, VascAbunt, TreeAbuns, BirdAbuns, BirdAbunt, MammAbuns",Peromyscus maniculatus (deer mouse),Birds,,,http://scholar.google.co.uk/scholar?q=Responses+of+birds+and+deer+mice+to+prescribed+burning+in+ponderosa+pine&btnG=&hl=en&as_sdt=0%2C5
Kay and Bartos (2000),C. E. Kay and D. L. Bartos,2000,Ungulate herbivory on Utah aspen: assessment of long-term exclosures,Journal of Range Management,53,145-153,English,,USA,Utah,Dixie National Forest; Fishlake National Forest; Parker Mountain,,38-39 N,112 W,38.5,-112,2554-3054 ,Broadleaf; mixed,Populus tremuloides,,,,CI,5-8,GRAZ,Exclusion of cattle and/or mule deer and elk,"VertDiam, TreeAbuns, VascAbuns",Populus tremuloides (trembling aspen),Trees and other vascular plants,,,http://scholar.google.co.uk/scholar?q=Ungulate+herbivory+on+Utah+aspen:+assessment+of+long-term+exclosures&btnG=&hl=en&as_sdt=0%2C5
Dove and Keeton (2015),N. C. Dove and W. S. Keeton,2015,Structural complexity enhancement increases fungal species richness in northern hardwood forests,Fungal Ecology,13,181-192,English,,USA,Vermont,Mount Mansfield State Forest,Forest Ecosystem Management Demonstration Project (FEMDP),44.51 N,72.84 W,44.51,-72.84,470-660,Broadleaf,"Acer saccharum, Fagus grandifolia, Betula alleghaniensis",70-100,,,CI,2,PART,"Partial harvesting (single-tree selection, group selection and structural complexity enhancement)","DeadAbunt, DeadDv, FungAbuns, FungRich",,Fungi,,,http://scholar.google.co.uk/scholar?q=Structural+complexity+enhancement+increases+fungal+species+richness+in+northern+hardwood+forests&btnG=&hl=en&as_sdt=0%2C5
Keeton (2006),W. S. Keeton,2006,Managing for late-successional/old-growth characteristics in northern hardwood-conifer forests,Forest Ecology and Management,235,129-142,English,,USA,Vermont,Mount Mansfield State Forest; Jericho Research Forest,,44.45-44.51 N,72.84-73.00 W,44.51,-72.84,200-660,Mixed; broadleaf,"Acer saccharum, Fagus grandifolia, Betula alleghaniensis, Tsuga canadensis",70-100,D,,BACI,2-4,PART,"Partial harvesting (single-tree selection, group selection and structural complexity enhancement)","TreeAbunt, DeadAbunt, DeadDv, VertDiam",,Trees,Vertical stand structure; dead wood,,http://scholar.google.co.uk/scholar?q=Managing+for+late-successional/old-growth+characteristics+in+northern+hardwood-conifer+forests&btnG=&hl=en&as_sdt=0%2C5
Rankin and Perlut (2015),D. T. Rankin and N. G. Perlut,2015,The effects of forest stand improvement practices on occupancy and abundance of breeding songbirds,Forest Ecology and Management,335,99-107,English,,USA,Vermont,,,44.5 N,72.5 W,44.5,-72.5,200-670,Mixed; broadleaf,"Acer saccharum, Acer rubrum, Fagus grandifolia, Fraxinus sp., Populus grandidentata, Pinus strobus, Tsuga canadensis",40-100,,Second-growth,CI,28,"PART, THIN","Thinning and various forms of partial harvesting, 82% mean retention (data on all treated stands pooled)","BirdAbuns, BirdRich, BirdDiv, TreeAbunt, DeadAbunt, InsAbunt, ArthAbunt",,Birds,,,http://scholar.google.co.uk/scholar?q=The+effects+of+forest+stand+improvement+practices+on+occupancy+and+abundance+of+breeding+songbirds&btnG=&hl=en&as_sdt=0%2C5
Homyack and Haas (2009),J. A. Homyack and C. A. Haas,2009,Long-term effects of experimental forest harvesting on abundance and reproductive demography of terrestrial salamanders,Biological Conservation,142,110-121,English,,USA,Virginia; West Virginia,Jefferson National Forest; Mead-Westvaco Research Forest,,37.2-38.8 N,80.0-80.7 W,38.7,-80.05,,Broadleaf,Quercus spp.,62-100,,,CI,6 (2 of which are outside relevant veg. zones),PART,"Group selection, shelterwood and leave-tree harvesting (56%, 44% and 26% retention, respectively). (Study also reports on clearcutting and midstorey removal using herbicides.)","TreeAbunt, AmphAbunt",,Salamanders,,Site coordinates from Belote et al. (2008). Results are pooled with data from two sites outside relevant vegetation zones (CL1 and CL2).,http://scholar.google.co.uk/scholar?q=Long-term+effects+of+experimental+forest+harvesting+on+abundance+and+reproductive+demography+of+terrestrial+salamanders&btnG=&hl=en&as_sdt=0%2C5
Belote et al. (2008),"R. T. Belote, R. H. Jones, S. M. Hood and B. W. Wender",2008,Diversity-invasibility across an experimental disturbance gradient in Appalachian forests,Ecology,89,183-192,English,,USA,Virginia; West Virginia,Jefferson National Forest; Westvaco Research Forest,,37.2-38.8 N,80.0-80.7 W,38.7,-80.05,600-1200,Broadleaf,"Quercus spp., Acer rubrum, Carya spp.",,,,BACI,5-7 (2 of which are outside relevant veg. zones),PART,"Group selection, shelterwood and leave-tree harvesting (53%, 44% and 26% retention, respectively). (Study also reports on low-retention harvesting and understorey removal using herbicides.)","TreeRich, VascRich, InvasRich",,"Trees and other vascular plants, native and nonnative",,Two sites (CL1 and CL2) outside relevant vegetation zones,http://scholar.google.co.uk/scholar?q=Diversity-invasibility+across+an+experimental+disturbance+gradient+in+Appalachian+forests&btnG=&hl=en&as_sdt=0%2C5
MacCracken (2002),J. G. MacCracken,2002,"Response of forest floor vertebrates to riparian hardwood conversion along the Bear River, southwest Washington",Forest Science,48,299-308,English,,USA,Washington,Bear River watershed,,46.3 N,123.9 W,46.3,-123.9,0-458,Broadleaf (riparian),Alnus rubra,,,,CI,6,"THIN, UPLANT",Thinning; underplanting of conifers,"TreeAbuns, TreeAbunt, VascAbuns, VascAbunt, DeadAbunt, DeadDv, MammAbuns, MammAbunt, MammRich, AmphAbuns, AmphAbunt, AmphRich",,Trees and other vascular plants; small mammals; amphibians,,,"http://scholar.google.co.uk/scholar?q=Response+of+forest+floor+vertebrates+to+riparian+hardwood+conversion+along+the+Bear+River,+southwest+Washington&btnG=&hl=en&as_sdt=0%2C5"
Dovciak et al. (2006),"M. Dovciak, C. B. Halpern, J. F. Saracco, S. A. Evans and D. A. Liguori",2006,Persistence of ground-layer bryophytes in a structural retention experiment: initial effects of level and pattern of overstory retention,Canadian Journal of Forest Research,36,3039-3052,English,,USA,Washington,Butte; Capitol Forest; Little White Salmon; Paradise Hills,Demonstration of Ecosystem Management Options (DEMO),45.86-46.90 N,121.59-123.14 W,45.86,-122.34,210-1280,Coniferous,Pseudotsuga menziesii,65-170,,Undisturbed or naturally regenerated after clearcutting in the 1930s (Capitol Forest),BACl,4,PART,"Single-tree selection harvesting, 40% retention. (Study also reports on low-retention harvesting, retention of 1 ha patches and gap felling with 1 ha gaps.)","BryoComp, BryoAbuns, BryoAbunt, BryoRich",,Ground-layer bryophytes,,Site coordinates from Halpern et al. (2005),http://scholar.google.co.uk/scholar?q=Persistence+of+ground-layer+bryophytes+in+a+structural+retention+experiment:+initial+effects+of+level+and+pattern+of+overstory+retention&btnG=&hl=en&as_sdt=0%2C5
Halpern et al. (2014),"C. B. Halpern, M. Dovciak, L. S. Urgenson and S. A. Evans",2014,Substrates mediate responses of forest bryophytes to a gradient in overstory retention,Canadian Journal of Forest Research,44,855-866,English,,USA,Washington,Butte; Little White Salmon; Paradise Hills,Demonstration of Ecosystem Management Options (DEMO),45.86-46.37 N,121.59-121.99 W,45.86,-122.34,900-1150,Coniferous,Pseudotsuga menziesii,70-170,,,CI,3,"PART, UPLANT","Single-tree selection harvesting, 40% retention; underplanting. (Study also reports on low-retention harvesting.)","TreeAbunt, VascAbunt, BryoAbuns, BryoAbunt, BryoRich, BryoDiv, BryoComp",,Bryophytes,,Site coordinates from Halpern et al. (2005),http://scholar.google.co.uk/scholar?q=Substrates+mediate+responses+of+forest+bryophytes+to+a+gradient+in+overstory+retention&btnG=&hl=en&as_sdt=0%2C5
Hallett et al. (2001),"J. G. Hallett, T. Lopez, M. A. O'Connell and M. A. Borysewicz",2001,Decay dynamics and avian use of artificially created snags,Northwest Science,75,378-386,English,,USA,Washington,Colville National Forest (Sullivan Lake Ranger District),,48.7 N,117.6 W,48.7,-117.6,750-1500,Coniferous,"Larix occidentalis, Pseudotsuga menziesii",,,Second-growth,CI,1-138 trees per species,CREA,Girdling and topping of trees,"DeadDv, MicroCav, FungAbunt, BirdAbunt",,,Dead wood,,http://scholar.google.co.uk/scholar?q=Decay+dynamics+and+avian+use+of+artificially+created+snags&btnG=&hl=en&as_sdt=0%2C5
Nelson et al. (2008),"C. R. Nelson, C. B. Halpern and J. K. Agee",2008,Thinning and burning result in low-level invasion by nonnative plants but neutral effects on natives,Ecological Applications,18,762-770,English,,USA,Washington,Colville National Forest; Okanogan-Wenatchee National Forest,,48-49 N,118-121 W,48.5,-119.5,< 1200,Coniferous,Pinus ponderosa,Mature,,,CI,15,"BURN, THIN",Thinning; prescribed burning (fuel reduction),"TreeAbunt, VascAbunt, VascRich, InvasAbunt, InvasRich",,"Vascular plants, native and nonnative",,,http://scholar.google.co.uk/scholar?q=Thinning+and+burning+result+in+low-level+invasion+by+nonnative+plants+but+neutral+effects+on+natives&btnG=&hl=en&as_sdt=0%2C5
Aukema and Carey (2008),J. E. Aukema and A. B. Carey,2008,Effects of variable-density thinning on understory diversity and heterogeneity in young Douglas-fir forests,USDA Forest Service,PNW-RP-575,,English,,USA,Washington,Fort Lewis Military Reservation,Forest Ecosystem Study (FES),46.93 N,122.67 W,46.93,-122.67,100-200,Coniferous,Pseudotsuga menziesii,,,"Planted or naturally regenerated after clearcutting in 1925 and 1937, respectively",CI,2 in each of 2 stand types,"THIN, UPLANT",Variable-density thinning; underplanting,"VascRich, VascDiv, VascComp, InvasRich, InvasDiv, BryoAbunt",,Vascular plants; bryophytes,,,http://scholar.google.co.uk/scholar?q=Effects+of+variable-density+thinning+on+understory+diversity+and+heterogeneity+in+young+Douglas-fir+forests&btnG=&hl=en&as_sdt=0%2C5
Carey (2001),A. B. Carey,2001,Experimental manipulation of spatial heterogeneity in Douglas-fir forests: effects on squirrels,Forest Ecology and Management,152,13-30,English,,USA,Washington,Fort Lewis Military Reservation,,46.93-46.98 N,122.67-122.70 W,46.93,-122.67,100-140,Coniferous,Pseudotsuga menziesii,,,Regenerated after clearcutting around 1927 and 1937,BACI,4 in each of 2 stand types,THIN,Variable-density thinning,MammAbuns,"Glaucomys sabrinus (northern flying squirrel), Tamiasciurus douglasii (Douglas' squirrel), Tamias townsendi (Townsend's chipmunk)",,,Site coordinates from Thysell and Carey (2001),http://scholar.google.co.uk/scholar?q=Experimental+manipulation+of+spatial+heterogeneity+in+Douglas-fir+forests:+effects+on+squirrels&btnG=&hl=en&as_sdt=0%2C5
Carey and Wilson (2001),A. B. Carey and S. M. Wilson,2001,Induced spatial heterogeneity in forest canopies: Responses of small mammals,Journal of Wildlife Management,65,1014-1027,English,,USA,Washington,Fort Lewis Military Reservation,,46.93-46.98 N,122.67-122.70 W,46.93,-122.67,100-143,Coniferous,Pseudotsuga menziesii,,,Naturally regenerated after clearcutting in the 1920s and 1930s,CI,4 in each of 2 stand types,THIN,Variable-density thinning,"VascRich, VascAbuns, VascAbunt, MammAbuns, MammAbunt",,Vascular plants; small mammals,,Site coordinates from Thysell and Carey (2001),http://scholar.google.co.uk/scholar?q=Induced+spatial+heterogeneity+in+forest+canopies:+Responses+of+small+mammals&btnG=&hl=en&as_sdt=0%2C5
Carey et al. (1999),"A. B. Carey, D. R. Thysell and A. W. Brodie",1999,"The Forest Ecosystem Study: background, rationale, implementation, baseline conditions, and silvicultural assessment",USDA Forest Service,PNW-GTR-457,,English,,USA,Washington,Fort Lewis Military Reservation,Forest Ecosystem Study (FES),46.93-46.98 N,122.67-122.70 W,46.93,-122.67,120-165,Coniferous,Pseudotsuga menziesii,50-70,,Naturally regenerated after clearcutting in 1925 and 1937,BA; CI,2 in each of 2 stand types,"THIN, UPLANT",Variable-density thinning; underplanting,"VertLayer, VertDiam, TreeAbunt, VascAbuns, VascAbunt, VascRich, DeadAbunt, DeadDv, FungRich",,Trees and other vascular plants; fungi,Dead wood,Site coordinates from Thysell and Carey (2001),"http://scholar.google.co.uk/scholar?q=The+Forest+Ecosystem+Study:+background,+rationale,+implementation,+baseline+conditions,+and+silvicultural+assessment&btnG=&hl=en&as_sdt=0%2C5"
Colgan et al. (1999),"W. C. Colgan III, A. B. Carey, J. M. Trappe, R. Molina and D. Thysell",1999,Diversity and productivity of hypogeous fungal sporocarps in a variably thinned Douglas-fir forest,Canadian Journal of Forestry Resources,29,1259-1268,English,,USA,Washington,Fort Lewis Military Reservation,Forest Ecosystem Study (FES),46.93-46.98 N,122.67-122.70 W,46.93,-122.67,100-143,Coniferous,Pseudotsuga menziesii,55-65,,Regenerated after clearcutting in 1927 and 1937,CI,8 (4 in each of 2 stand types),THIN,Variable-density thinning,"FungAbuns, FungAbunt, FungRich, FungDiv",,Hypogeous fungi,,Site coordinates from Thysell and Carey (2001),http://scholar.google.co.uk/scholar?q=Diversity+and+productivity+of+hypogeous+fungal+sporocarps+in+a+variably+thinned+Douglas-fir+forest&btnG=&hl=en&as_sdt=0%2C5
Haveri and Carey (2000),B. Haveri and A. B. Carey,2000,"Forest management strategy, spatial heterogeneity, and winter birds in Washington",Wildlife Society Bulletin,28,643-652,English,,USA,Washington,Fort Lewis Military Reservation,Forest Ecosystem Study (FES),46.93-46.98 N,122.67-122.70 W,46.93,-122.67,,Coniferous,Pseudotsuga menziesii,60-70,,Naturally regenerated after clearcutting in 1925 and 1937,CI,4 in each of 2 stand types,THIN,Variable-density thinning,"BirdAbuns, BirdRich",,Birds,,Site coordinates from Thysell and Carey (2001),"http://scholar.google.co.uk/scholar?q=Forest+management+strategy,+spatial+heterogeneity,+and+winter+birds+in+Washington&btnG=&hl=en&as_sdt=0%2C5"
Thysell and Carey (2001),D. R. Thysell and A. B. Carey,2001,Manipulation of density of Pseudotsuga menziesii canopies: preliminary effects on understory vegetation,Canadian Journal of Forest Research,31,1513-1525,English,,USA,Washington,Fort Lewis Military Reservation,,46.93-46.98 N,122.67-122.70 W,46.93,-122.67,120-165,Coniferous,Pseudotsuga menziesii,55-65,,Regenerated after clearcutting around 1927 and 1937,CI,4 in each of 2 stand types,THIN,Variable-density thinning,"VascAbuns, VascAbunt, VascRich, VascDiv, InvasAbuns",,"Vascular plants, native and nonnative",,,http://scholar.google.co.uk/scholar?q=Manipulation+of+density+of+Pseudotsuga+menziesii+canopies:+preliminary+effects+on+understory+vegetation&btnG=&hl=en&as_sdt=0%2C5
